"page_url","lang","full_title","short_title"
"cf_admin.php?dbexport","it","SQL Export","EXPORT TABLE"
"cf_admin.php?dbfiles","it","Schemi","TABLE FILES"
"cf_admin.php?dbimport","it","SQL Import","IMPORT TABLE"
"cf_admin.php?dbquery","it","SQL Query","QUERY TABLE"
"cf_admin.php?dbschema","it","Schema","EXECUTE SCHEMA"
"cf_admin.php?users","it","Utenti","UTENTI"
"cf_admin.php?bookmarks","it","Segnalibri","SEGNALIBRI"
"cf_app.php?admin","it","Amministrazione dell'applicazione","AMMINISTRAZIONE"
"cf_app.php?db","it","Amministrazione Database","DATABASE"
"cf_app.php?tmpl","it","Modelli","MODELLI"
"cf_admin.php?tmplfiles","it","File XML Modelli","FILE XML"
"cf_admin.php?tmplimages","it","Immagini Modelli","IMMAGINI"
"cf_docs.php","it","Documenti","DOCUMENTI"
"cf_ajaxplorer_content.php","it","cf_ajaxplorer_content.php","cf_ajaxplorer_content.php"
"index.php","it","Tavolo di lavoro","HOME"
"cf_login.php","it","Accesso utente","HOME"
"cf_logout.php","it","Logout dal sistema","ESCI"
"cf_changepwd.php","it","Cambio password","CAMBIO PASSWORD"
"cf_redirect.php","it","Redirezione in corso...","REDIREZIONE"
"cf_worktable1.php","it","cf_worktable1.php","cf_worktable1.php"
"cf_worktable2.php","it","cf_worktable2.php","cf_worktable2.php"
"cf_worktable3.php","it","cf_worktable3.php","cf_worktable3.php"
"cf_worktable4.php","it","cf_worktable4.php","cf_worktable4.php"
"cf_worktable5.php","it","cf_worktable5.php","cf_worktable5.php"
"cf_worktable6.php","it","cf_worktable6.php","cf_worktable6.php"
"cf_worktable7.php","it","cf_worktable7.php","cf_worktable7.php"
"cf_worktable8.php","it","cf_worktable8.php","cf_worktable8.php"
"cf_worktable9.php","it","cf_worktable9.php","cf_worktable9.php"
"cf_worktable10.php","it","cf_worktable10.php","cf_worktable10.php"
"cf_worktable11.php","it","cf_worktable11.php","cf_worktable11.php"
"cf_worktable12.php","it","cf_worktable12.php","cf_worktable12.php"
"cf_worktable13.php","it","cf_worktable13.php","cf_worktable13.php"
"cf_worktable14.php","it","cf_worktable14.php","cf_worktable14.php"
"cf_worktable15.php","it","cf_worktable15.php","cf_worktable15.php"
"cf_worktable16.php","it","cf_worktable16.php","cf_worktable16.php"
"cf_worktable17.php","it","cf_worktable17.php","cf_worktable17.php"
"cf_worktable18.php","it","cf_worktable18.php","cf_worktable18.php"
"cf_worktable19.php","it","cf_worktable19.php","cf_worktable19.php"
"cf_worktable20.php","it","cf_worktable20.php","cf_worktable20.php"
"cf_worktable21.php","it","cf_worktable21.php","cf_worktable21.php"
"cf_worktable22.php","it","cf_worktable22.php","cf_worktable22.php"
"cf_worktable23.php","it","cf_worktable23.php","cf_worktable23.php"
"cf_worktable24.php","it","cf_worktable24.php","cf_worktable24.php"
"cf_worktable25.php","it","cf_worktable25.php","cf_worktable25.php"
"cf_worktable26.php","it","cf_worktable26.php","cf_worktable26.php"
"cf_worktable27.php","it","cf_worktable27.php","cf_worktable27.php"
"cf_worktable28.php","it","cf_worktable28.php","cf_worktable28.php"
"cf_worktable29.php","it","cf_worktable29.php","cf_worktable29.php"
"cf_worktable30.php","it","cf_worktable30.php","cf_worktable30.php"
"cf_worktable31.php","it","cf_worktable31.php","cf_worktable31.php"
"cf_worktable32.php","it","cf_worktable32.php","cf_worktable32.php"
"cf_worktable33.php","it","cf_worktable33.php","cf_worktable33.php"
"cf_worktable34.php","it","cf_worktable34.php","cf_worktable34.php"
"cf_worktable35.php","it","cf_worktable35.php","cf_worktable35.php"
"cf_worktable36.php","it","cf_worktable36.php","cf_worktable36.php"
"cf_worktable37.php","it","cf_worktable37.php","cf_worktable37.php"
"cf_worktable38.php","it","cf_worktable38.php","cf_worktable38.php"
"cf_worktable39.php","it","cf_worktable39.php","cf_worktable39.php"
"cf_worktable40.php","it","cf_worktable40.php","cf_worktable40.php"
"cf_worktable41.php","it","cf_worktable41.php","cf_worktable41.php"
"cf_worktable42.php","it","cf_worktable42.php","cf_worktable42.php"
"cf_worktable43.php","it","cf_worktable43.php","cf_worktable43.php"
"cf_worktable44.php","it","cf_worktable44.php","cf_worktable44.php"
"cf_worktable45.php","it","cf_worktable45.php","cf_worktable45.php"
"cf_worktable46.php","it","cf_worktable46.php","cf_worktable46.php"
